"Orthogroup","Total Convergent N (FDR < 0.5)","Species Convergent N (FDR < 0.5)","Climate Variables","Athaliana Genes","Lowest FDR"
"OG0009340",5,5,"Precip Cold Quarter","ZWI",0.349
"OG0013067",5,5,"Precip Warm Quarter","LARP6a",0.429
"OG0001951",4,4,"Precip Wet Month","BIM1/BIM2",0.352
"OG0004082",4,4,"Isothermality","RPN8A/MEE34",0.362
"OG0004902",4,4,"Min Temp Coldest Month","AT1G20110",0.417
"OG0005195",4,4,"Max Temp Warmest Month","AT1G16825/AT1G78895",0.119
"OG0005896",4,4,"Temp Range","RID3",0.309
"OG0005961",4,4,"Max Temp Warmest Month","AT4G17810",0.238
"OG0007061",4,4,"Mean Temp Warm Quarter","SPP1",0.27
"OG0007662",4,4,"Mean Temp Wet Quarter","FIP37",0.33
"OG0008285",4,4,"Temp Seasonality","FAP1",0.305
"OG0009139",4,4,"Temp Seasonality","AT4G02725",0.402
"OG0010215",4,4,"Isothermality","TSK",0.362
"OG0010909",4,4,"Mean Temp Warm Quarter","GalAK",0.397
"OG0012631",4,4,"Mean Temp","RAD51B",0.278
"OG0000331",3,3,"Precip Cold Quarter","GH3.1/GH3.3/GH3.9/WES1/BRU6/DFL1/GH3.17/GH3.4",0.347
"OG0000412",3,3,"Precip Cold Quarter","ATC/TSF/TFL1/BFT/FT",0.347
"OG0000950",3,3,"Mean Temp Warm Quarter","HRD/AT5G52020/AT1G12630",0.174
"OG0001668",3,3,"Tmax Clim Change","AT5G53480/AT3G08943/AT3G08947",0.466
"OG0002746",3,3,"Mean Temp Wet Quarter","AT2G41790/AT3G57470",0.49
"OG0003730",3,3,"Mean Temp Dry Quarter","AT5G07710/AT5G61390/AT1G74390",0.102
"OG0003921",3,3,"Mean Temp Dry Quarter","PMP22/AT4G14305",0.47
"OG0006902",3,3,"Mean Temp Cold Quarter","AT1G67120",0.294
"OG0007959",3,3,"Precip Cold Quarter","AT2G44525/AT3G60150",0.349
"OG0008137",3,3,"Precip Wet Month","PEX5",0.418
"OG0008170",3,3,"Precip Cold Quarter","ATH13",0.352
"OG0008497",3,3,"Temp Range","AT2G43770",0.307
"OG0010195",3,3,"Mean Temp Dry Quarter","POD1",0.201
"OG0012174",3,3,"Temp Range","COX10",0.309
"OG0004502",4,2,"Annual Precip/Precip Wet Month","AT4G15165/PAC1",0.352
"OG0000202",2,2,"Temp Range","AT4G25300/AT4G25310/AT1G17010/SRG1/AT1G78550",0.307
"OG0000401",2,2,"Precip Wet Month","CIPK3/CIPK8/CIPK26/SOS2/CIPK9/CIPK23",0.186
"OG0003782",2,2,"Precip Warm Quarter","ANL2/HDG1",0.381
"OG0004583",2,2,"Mean Temp","AT5G13250/AT1G28080",0.441
"OG0007641",2,2,"Precip Dry Month","IAA33",0.379
"OG0012544",2,2,"Precip Cold Quarter","AT1G13630",0.428
"OG0002367",1,1,"Precip Seasonality","AT5G14285/AT3G25950/AT3G27270",0.361
